City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
495,Sabha,27.0377,14.4283,80.47,16,0,11.01,LY,2022-09-19 03:16:13
496,Marjamaa,58.9039,24.4306,47.95,97,14,3.15,EE,2022-09-19 03:17:13
497,Tautira,-17.7333,-149.15,77.29,77,21,18.81,PF,2022-09-19 03:17:14
498,Gao,16.6362,1.637,83.86,48,99,2.57,ML,2022-09-19 03:17:06
499,Wad Madani,14.4012,33.5199,80.71,67,100,8.12,SD,2022-09-19 03:17:14
500,Anadyr,64.75,177.4833,43.3,86,75,8.95,RU,2022-09-19 03:17:15
501,Pringsewu,-5.3582,104.9744,83.75,70,100,2.01,ID,2022-09-19 03:17:16
502,Lancaster,40.2504,-76.2499,70.97,85,44,4.65,US,2022-09-19 03:12:58
503,Gaurnadi,22.9667,90.2333,80.82,88,100,9.33,BD,2022-09-19 03:17:17
504,San Quintin,30.4833,-115.95,67.86,76,0,14.43,MX,2022-09-19 03:17:17
505,Isangel,-19.55,169.2667,84.31,65,75,9.22,VU,2022-09-19 03:17:18
506,Deputatskiy,69.3,139.9,33.94,69,100,4.72,RU,2022-09-19 03:17:18
507,Caravelas,-17.7125,-39.2481,68.23,78,10,5.03,BR,2022-09-19 03:17:19
508,Biu,10.6129,12.1946,66.52,95,99,2.91,NG,2022-09-19 03:17:20
509,Aksu,41.1231,80.2644,70.88,42,86,7.61,CN,2022-09-19 03:17:20
510,Am Timan,11.0297,20.2827,70.29,96,30,2.19,TD,2022-09-19 03:17:21
511,Xichang,27.8964,102.2634,75.36,77,82,1.32,CN,2022-09-19 03:17:21
512,Doka,13.5167,35.7667,72.27,70,100,9.75,SD,2022-09-19 03:17:22
513,Thaba-Tseka,-29.522,28.6084,48.0,51,64,4.0,LS,2022-09-19 03:17:22
514,Kysyl-Syr,63.8986,122.7617,38.3,53,64,8.03,RU,2022-09-19 03:17:23
515,Hervey Bay,-25.2986,152.8535,71.42,73,0,11.03,AU,2022-09-19 03:17:23
516,Laguna,38.421,-121.4238,66.18,83,75,9.22,US,2022-09-19 03:17:24
517,Kahului,20.8947,-156.47,86.02,65,0,19.57,US,2022-09-19 03:17:24
518,Olinda,-8.0089,-34.8553,76.73,69,75,9.22,BR,2022-09-19 03:17:25
519,Balkanabat,39.5108,54.3671,78.76,21,0,8.88,TM,2022-09-19 03:17:25
520,Cockburn Town,21.4612,-71.1419,83.17,77,33,20.04,TC,2022-09-19 03:17:26
521,Gazimurskiy Zavod,51.5461,118.3266,42.62,25,0,10.6,RU,2022-09-19 03:17:27
522,Zapolyarnyy,69.4154,30.8136,45.68,98,100,14.88,RU,2022-09-19 03:17:28
523,Dmitriyevka,54.75,55.3333,62.15,80,100,11.81,RU,2022-09-19 03:17:28
524,Bonavista,48.6499,-53.1147,50.79,68,86,23.0,CA,2022-09-19 03:17:29
525,Prien,30.1819,-93.2738,78.82,91,0,3.44,US,2022-09-19 03:17:29
526,Darhan,49.4867,105.9228,52.38,43,0,13.33,MN,2022-09-19 03:17:30
527,Allapalli,19.4167,80.0667,78.13,92,100,2.91,IN,2022-09-19 03:17:30
